# diode-clamp probe=out h=0.000001 steps=2000
t,v
0.0000000000000000e+0,2.4546775672122479e-22
1.0005002501250626e-6,3.1428706443005064e-2
2.0010005002501251e-6,6.2853281036889641e-2
3.0015007503751877e-6,9.4270128909747786e-2
4.0020010005002502e-6,1.2567242735082493e-1
5.0025012506253128e-6,1.5704806292778997e-1
6.0030015007503754e-6,1.8837411143687377e-1
7.0035017508754379e-6,2.1960639639050941e-1
8.0040020010005005e-6,2.5065983343757930e-1
9.0045022511255639e-6,2.8137383043696085e-1
1.0005002501250626e-5,3.1145938580951338e-1
1.1005502751375687e-5,3.4044178028848471e-1
1.2006003001500751e-5,3.6765513833611663e-1
1.3006503251625814e-5,3.9237430985929378e-1
1.4007003501750876e-5,4.1407453345546930e-1
1.5007503751875938e-5,4.3262858980510266e-1
1.6008004002001001e-5,4.4828004822629303e-1
1.7008504252126064e-5,4.6146546227095725e-1
1.8009004502251128e-5,4.7264877168666908e-1
1.9009504752376188e-5,4.8223632906114527e-1
2.0010005002501251e-5,4.9055452449931303e-1
2.1010505252626315e-5,4.9785614336637563e-1
2.2011005502751375e-5,5.0433481254880541e-1
2.3011505752876438e-5,5.1013910689053588e-1
2.4012006003001501e-5,5.1538395000628134e-1
2.5012506253126565e-5,5.2015920425667361e-1
2.6013006503251628e-5,5.2453597206981473e-1
2.7013506753376688e-5,5.2857118518076929e-1
2.8014007003501752e-5,5.3231095494057623e-1
2.9014507253626815e-5,5.3579303586872296e-1
3.0015007503751875e-5,5.3904865459460183e-1
3.1015507753876935e-5,5.4210415946152168e-1
3.2016008004002002e-5,5.4498099853336524e-1
3.3016508254127062e-5,5.4769793351006368e-1
3.4017008504252129e-5,5.5027103004426869e-1
3.5017508754377189e-5,5.5271401316560298e-1
3.6018009004502256e-5,5.5503877665082579e-1
3.7018509254627309e-5,5.5725568898954747e-1
3.8019009504752376e-5,5.5937383790079975e-1
3.9019509754877436e-5,5.6140122887446453e-1
4.0020010005002502e-5,5.6334494731275775e-1
4.1020510255127562e-5,5.6521129187168540e-1
4.2021010505252629e-5,5.6700588484549930e-1
4.3021510755377689e-5,5.6873376411710230e-1
4.4022011005502749e-5,5.7039946020332899e-1
4.5022511255627809e-5,5.7200706116928379e-1
4.6023011505752876e-5,5.7356026760819057e-1
4.7023511755877936e-5,5.7506243943762680e-1
4.8024012006003003e-5,5.7651663591665459e-1
4.9024512256128063e-5,5.7792565001770435e-1
5.0025012506253130e-5,5.7929203807370555e-1
5.1025512756378190e-5,5.8061814545187640e-1
5.2026013006503257e-5,5.8190612887107385e-1
5.3026513256628310e-5,5.8315797587143581e-1
5.4027013506753377e-5,5.8437552185793973e-1
5.5027513756878437e-5,5.8556046506905557e-1
5.6028014007003503e-5,5.8671437976413077e-1
5.7028514257128563e-5,5.8783872787605240e-1
5.8029014507253630e-5,5.8893486933718031e-1
5.9029514757378690e-5,5.9000407125449772e-1
6.0030015007503750e-5,5.9104751608351302e-1
6.1030515257628810e-5,5.9206630892839240e-1
6.2031015507753870e-5,5.9306148407729076e-1
6.3031515757878937e-5,5.9403401086652374e-1
6.4032016008004004e-5,5.9498479895414602e-1
6.5032516258129071e-5,5.9591470307241645e-1
6.6033016508254124e-5,5.9682452731941260e-1
6.7033516758379191e-5,5.9771502904216833e-1
6.8034017008504258e-5,5.9858692235676925e-1
6.9034517258629324e-5,5.9944088134522755e-1
7.0035017508754378e-5,6.0027754296391800e-1
7.1035517758879444e-5,6.0109750969404274e-1
7.2036018009004511e-5,6.0190135196106331e-1
7.3036518259129564e-5,6.0268961034660562e-1
7.4037018509254618e-5,6.0346279761387422e-1
7.5037518759379684e-5,6.0422140056490559e-1
7.6038019009504751e-5,6.0496588174617694e-1
7.7038519259629818e-5,6.0569668101705054e-1
7.8039019509754871e-5,6.0641421699405695e-1
7.9039519759879938e-5,6.0711888838254491e-1
8.0040020010005005e-5,6.0781107520606237e-1
8.1040520260130072e-5,6.0849113994271509e-1
8.2041020510255125e-5,6.0915942857673411e-1
8.3041520760380192e-5,6.0981627157277718e-1
8.4042021010505259e-5,6.1046198477956426e-1
8.5042521260630325e-5,6.1109687026898984e-1
8.6043021510755379e-5,6.1172121711603111e-1
8.7043521760880445e-5,6.1233530212445342e-1
8.8044022011005499e-5,6.1293939050271939e-1
8.9044522261130565e-5,6.1353373649414156e-1
9.0045022511255619e-5,6.1411858396493235e-1
9.1045522761380685e-5,6.1469416695345469e-1
9.2046023011505752e-5,6.1526071018370110e-1
9.3046523261630819e-5,6.1581842954580135e-1
9.4047023511755872e-5,6.1636753254593535e-1
9.5047523761880939e-5,6.1690821872808210e-1
9.6048024012006006e-5,6.1744068006963493e-1
9.7048524262131073e-5,6.1796510135273153e-1
9.8049024512256126e-5,6.1848166051320286e-1
9.9049524762381193e-5,6.1899052896856843e-1
1.0005002501250626e-4,6.1949187192672517e-1
1.0105052526263133e-4,6.1998584867653783e-1
1.0205102551275638e-4,6.2047261286165423e-1
1.0305152576288145e-4,6.2095231273871132e-1
1.0405202601300651e-4,6.2142509142089319e-1
1.0505252626313157e-4,6.2189108710793495e-1
1.0605302651325662e-4,6.2235043330337592e-1
1.0705352676338169e-4,6.2280325901994604e-1
1.0805402701350675e-4,6.2324968897383670e-1
1.0905452726363182e-4,6.2368984376855841e-1
1.1005502751375687e-4,6.2412384006907506e-1
1.1105552776388194e-4,6.2455179076678324e-1
1.1205602801400701e-4,6.2497380513594125e-1
1.1305652826413207e-4,6.2538998898205556e-1
1.1405702851425713e-4,6.2580044478269892e-1
1.1505752876438219e-4,6.2620527182125363e-1
1.1605802901450726e-4,6.2660456631398131e-1
1.1705852926463233e-4,6.2699842153078622e-1
1.1805902951475738e-4,6.2738692791009731e-1
1.1905952976488245e-4,6.2777017316816275e-1
1.2006003001500750e-4,6.2814824240309186e-1
1.2106053026513257e-4,6.2852121819396300e-1
1.2206103051525762e-4,6.2888918069523925e-1
1.2306153076538270e-4,6.2925220772677504e-1
1.2406203101550774e-4,6.2961037485965776e-1
1.2506253126563281e-4,6.2996375549810746e-1
1.2606303151575787e-4,6.3031242095765672e-1
1.2706353176588294e-4,6.3065644053979231e-1
1.2806403201600801e-4,6.3099588160325559e-1
1.2906453226613307e-4,6.3133080963220545e-1
1.3006503251625814e-4,6.3166128830135726e-1
1.3106553276638321e-4,6.3198737953829398e-1
1.3206603301650825e-4,6.3230914358308499e-1
1.3306653326663331e-4,6.3262663904534622e-1
1.3406703351675838e-4,6.3293992295887747e-1
1.3506753376688345e-4,6.3324905083396854e-1
1.3606803401700852e-4,6.3355407670755537e-1
1.3706853426713358e-4,6.3385505319126900e-1
1.3806903451725865e-4,6.3415203151749955e-1
1.3906953476738372e-4,6.3444506158359748e-1
1.4007003501750876e-4,6.3473419199425885e-1
1.4107053526763382e-4,6.3501947010221871e-1
1.4207103551775889e-4,6.3530094204730791e-1
1.4307153576788396e-4,6.3557865279395886e-1
1.4407203601800902e-4,6.3585264616725112e-1
1.4507253626813406e-4,6.3612296488752018e-1
1.4607303651825913e-4,6.3638965060364172e-1
1.4707353676838420e-4,6.3665274392502602e-1
1.4807403701850924e-4,6.3691228445238157e-1
1.4907453726863430e-4,6.3716831080731495e-1
1.5007503751875937e-4,6.3742086066080994e-1
1.5107553776888444e-4,6.3766997076064125e-1
1.5207603801900950e-4,6.3791567695776064e-1
1.5307653826913457e-4,6.3815801423170704e-1
1.5407703851925964e-4,6.3839701671507532e-1
1.5507753876938470e-4,6.3863271771711339e-1
1.5607803901950974e-4,6.3886514974642539e-1
1.5707853926963481e-4,6.3909434453287917e-1
1.5807903951975988e-4,6.3932033304873293e-1
1.5907953976988494e-4,6.3954314552897862e-1
1.6008004002001001e-4,6.3976281149099035e-1
1.6108054027013508e-4,6.3997935975346953e-1
1.6208104052026014e-4,6.4019281845471976e-1
1.6308154077038521e-4,6.4040321507028997e-1
1.6408204102051025e-4,6.4061057643000630e-1
1.6508254127063532e-4,6.4081492873441670e-1
1.6608304152076038e-4,6.4101629757065282e-1
1.6708354177088545e-4,6.4121470792778290e-1
1.6808404202101052e-4,6.4141018421160723e-1
1.6908454227113558e-4,6.4160275025897695e-1
1.7008504252126065e-4,6.4179242935162550e-1
1.7108554277138572e-4,6.4197924422951680e-1
1.7208604302151076e-4,6.4216321710378477e-1
1.7308654327163582e-4,6.4234436966920316e-1
1.7408704352176089e-4,6.4252272311626657e-1
1.7508754377188596e-4,6.4269829814286794e-1
1.7608804402201100e-4,6.4287111496559102e-1
1.7708854427213606e-4,6.4304119333062781e-1
1.7808904452226113e-4,6.4320855252434384e-1
1.7908954477238620e-4,6.4337321138351189e-1
1.8009004502251124e-4,6.4353518830518419e-1
1.8109054527263630e-4,6.4369450125627758e-1
1.8209104552276137e-4,6.4385116778282470e-1
1.8309154577288644e-4,6.4400520501894798e-1
1.8409204602301150e-4,6.4415662969552445e-1
1.8509254627313657e-4,6.4430545814859685e-1
1.8609304652326164e-4,6.4445170632748749e-1
1.8709354677338670e-4,6.4459538980268338e-1
1.8809404702351174e-4,6.4473652377344692e-1
1.8909454727363681e-4,6.4487512307519113e-1
1.9009504752376188e-4,6.4501120218662922e-1
1.9109554777388694e-4,6.4514477523668257e-1
1.9209604802401201e-4,6.4527585601117565e-1
1.9309654827413708e-4,6.4540445795932355e-1
1.9409704852426215e-4,6.4553059420000802e-1
1.9509754877438721e-4,6.4565427752784355e-1
1.9609804902451225e-4,6.4577552041906894e-1
1.9709854927463732e-4,6.4589433503724603e-1
1.9809904952476239e-4,6.4601073323876257e-1
1.9909954977488745e-4,6.4612472657818310e-1
2.0010005002501252e-4,6.4623632631339423e-1
2.0110055027513759e-4,6.4634554341062289e-1
2.0210105052526265e-4,6.4645238854926812e-1
2.0310155077538772e-4,6.4655687212657742e-1
2.0410205102551276e-4,6.4665900426217904e-1
2.0510255127563783e-4,6.4675879480246690e-1
2.0610305152576289e-4,6.4685625332483065e-1
2.0710355177588796e-4,6.4695138914175498e-1
2.0810405202601303e-4,6.4704421130477685e-1
2.0910455227613807e-4,6.4713472860831833e-1
2.1010505252626313e-4,6.4722294959338045e-1
2.1110555277638820e-4,6.4730888255111496e-1
2.1210605302651324e-4,6.4739253552627041e-1
2.1310655327663831e-4,6.4747391632053575e-1
2.1410705352676337e-4,6.4755303249573026e-1
2.1510755377688844e-4,6.4762989137692240e-1
2.1610805402701351e-4,6.4770450005541069e-1
2.1710855427713857e-4,6.4777686539159018e-1
2.1810905452726364e-4,6.4784699401774459e-1
2.1910955477738871e-4,6.4791489234069943e-1
2.2011005502751375e-4,6.4798056654439451e-1
2.2111055527763881e-4,6.4804402259234895e-1
2.2211105552776388e-4,6.4810526623003351e-1
2.2311155577788895e-4,6.4816430298714123e-1
2.2411205602801401e-4,6.4822113817976845e-1
2.2511255627813908e-4,6.4827577691250005e-1
2.2611305652826415e-4,6.4832822408042012e-1
2.2711355677838921e-4,6.4837848437100887e-1
2.2811405702851425e-4,6.4842656226597017e-1
2.2911455727863932e-4,6.4847246204296494e-1
2.3011505752876439e-4,6.4851618777727982e-1
2.3111555777888945e-4,6.4855774334337402e-1
2.3211605802901452e-4,6.4859713241638950e-1
2.3311655827913959e-4,6.4863435847355333e-1
2.3411705852926465e-4,6.4866942479550505e-1
2.3511755877938972e-4,6.4870233446754388e-1
2.3611805902951476e-4,6.4873309038082105e-1
2.3711855927963983e-4,6.4876169523341243e-1
2.3811905952976489e-4,6.4878815153136948e-1
2.3911955977988996e-4,6.4881246158964700e-1
2.4012006003001500e-4,6.4883462753298815e-1
2.4112056028014007e-4,6.4885465129672093e-1
2.4212106053026513e-4,6.4887253462749095e-1
2.4312156078039020e-4,6.4888827908391777e-1
2.4412206103051524e-4,6.4890188603717736e-1
2.4512256128064031e-4,6.4891335667152317e-1
2.4612306153076540e-4,6.4892269198472796e-1
2.4712356178089044e-4,6.4892989278845359e-1
2.4812406203101548e-4,6.4893495970855741e-1
2.4912456228114058e-4,6.4893789318533401e-1
2.5012506253126561e-4,6.4893869347366917e-1
2.5112556278139071e-4,6.4893736064313601e-1
2.5212606303151575e-4,6.4893389457803052e-1
2.5312656328164084e-4,6.4892829497732551e-1
2.5412706353176588e-4,6.4892056135454257e-1
2.5512756378189098e-4,6.4891069303759563e-1
