# divider probe=mid h=0.00001 steps=20
t,v
0.0000000000000000e+0,0.0000000000000000e+0
1.0000000000000001e-5,2.5000000000000000e+0
2.0000000000000002e-5,2.5000000000000000e+0
3.0000000000000004e-5,2.5000000000000000e+0
4.0000000000000003e-5,2.5000000000000000e+0
5.0000000000000002e-5,2.5000000000000000e+0
6.0000000000000008e-5,2.5000000000000000e+0
7.0000000000000007e-5,2.5000000000000000e+0
8.0000000000000007e-5,2.5000000000000000e+0
9.0000000000000006e-5,2.5000000000000000e+0
1.0000000000000000e-4,2.5000000000000000e+0
1.1000000000000000e-4,2.5000000000000000e+0
1.2000000000000002e-4,2.5000000000000000e+0
1.3000000000000002e-4,2.5000000000000000e+0
1.4000000000000001e-4,2.5000000000000000e+0
1.5000000000000001e-4,2.5000000000000000e+0
1.6000000000000001e-4,2.5000000000000000e+0
1.7000000000000001e-4,2.5000000000000000e+0
1.8000000000000001e-4,2.5000000000000000e+0
1.9000000000000001e-4,2.5000000000000000e+0
2.0000000000000001e-4,2.5000000000000000e+0
