# nano-power probe=rail h=1e-7 steps=30000
t,v
0.0000000000000000e+0,4.7041582097744739e+0
1.5007503751875938e-6,4.7041582097746719e+0
3.0015007503751877e-6,4.7041582097748407e+0
4.5022511255627819e-6,4.7041582097750032e+0
6.0030015007503754e-6,4.7041582097751560e+0
7.5037518759379688e-6,4.7041582097752928e+0
9.0045022511255639e-6,4.7041582097754286e+0
1.0505252626313157e-5,4.7041582097755574e+0
1.2006003001500751e-5,4.7041582097756685e+0
1.3506753376688344e-5,4.7041582097757741e+0
1.5007503751875938e-5,4.7041582097758736e+0
1.6508254127063531e-5,4.7041582097759695e+0
1.8009004502251128e-5,4.7041582097760628e+0
1.9509754877438718e-5,4.7041582097761454e+0
2.1010505252626315e-5,4.7041582097762298e+0
2.2511255627813905e-5,4.7041582097763079e+0
2.4012006003001501e-5,4.7041582097763772e+0
2.5512756378189095e-5,4.7041582097764403e+0
2.7013506753376688e-5,4.7041582097765122e+0
2.8514257128564282e-5,4.7041582097765673e+0
3.0015007503751875e-5,4.7041582097766179e+0
3.1515757878939469e-5,4.7041582097766650e+0
3.3016508254127062e-5,4.7041582097767165e+0
3.4517258629314662e-5,4.7041582097767600e+0
3.6018009004502256e-5,4.7041582097768018e+0
3.7518759379689842e-5,4.7041582097768391e+0
3.9019509754877436e-5,4.7041582097768755e+0
4.0520260130065036e-5,4.7041582097769128e+0
4.2021010505252629e-5,4.7041582097769421e+0
4.3521760880440223e-5,4.7041582097769705e+0
4.5022511255627809e-5,4.7041582097769963e+0
4.6523261630815410e-5,4.7041582097770167e+0
4.8024012006003003e-5,4.7041582097770442e+0
4.9524762381190596e-5,4.7041582097770673e+0
5.1025512756378190e-5,4.7041582097770842e+0
5.2526263131565783e-5,4.7041582097770842e+0
5.4027013506753377e-5,4.7041582097770842e+0
5.5527763881940970e-5,4.7041582097770842e+0
5.7028514257128563e-5,4.7041582097770842e+0
5.8529264632316164e-5,4.7041582097770842e+0
6.0030015007503750e-5,4.7041582097770842e+0
6.1530765382691350e-5,4.7041582097770842e+0
6.3031515757878937e-5,4.7041582097770833e+0
6.4532266133066537e-5,4.7041582097770842e+0
6.6033016508254124e-5,4.7041582097770833e+0
6.7533766883441724e-5,4.7041582097770842e+0
6.9034517258629324e-5,4.7041582097770842e+0
7.0535267633816911e-5,4.7041582097770833e+0
7.2036018009004511e-5,4.7041582097770842e+0
7.3536768384192098e-5,4.7041582097770842e+0
7.5037518759379684e-5,4.7041582097770851e+0
7.6538269134567285e-5,4.7041582097770842e+0
7.8039019509754871e-5,4.7041582097770842e+0
7.9539769884942471e-5,4.7041582097770842e+0
8.1040520260130072e-5,4.7041582097770842e+0
8.2541270635317658e-5,4.7041582097770842e+0
8.4042021010505259e-5,4.7041582097770842e+0
8.5542771385692859e-5,4.7041582097770842e+0
8.7043521760880445e-5,4.7041582097770842e+0
8.8544272136068032e-5,4.7041582097770842e+0
9.0045022511255619e-5,4.7041582097770842e+0
9.1545772886443219e-5,4.7041582097770842e+0
9.3046523261630819e-5,4.7041582097770842e+0
9.4547273636818406e-5,4.7041582097770842e+0
9.6048024012006006e-5,4.7041582097770842e+0
9.7548774387193606e-5,4.7041582097770842e+0
9.9049524762381193e-5,4.7041582097770842e+0
1.0055027513756879e-4,4.7041582097770842e+0
1.0205102551275638e-4,4.7041582097770842e+0
1.0355177588794398e-4,4.7041582097770842e+0
1.0505252626313157e-4,4.7041582097770842e+0
1.0655327663831915e-4,4.7041582097770842e+0
1.0805402701350675e-4,4.7041582097770842e+0
1.0955477738869435e-4,4.7041582097770842e+0
1.1105552776388194e-4,4.7041582097770842e+0
1.1255627813906954e-4,4.7041582097770842e+0
1.1405702851425713e-4,4.7041582097770842e+0
1.1555777888944473e-4,4.7041582097770842e+0
1.1705852926463233e-4,4.7041582097770842e+0
1.1855927963981991e-4,4.7041582097770842e+0
1.2006003001500750e-4,4.7041582097770842e+0
1.2156078039019510e-4,4.7041582097770842e+0
1.2306153076538270e-4,4.7041582097770842e+0
1.2456228114057029e-4,4.7041582097770842e+0
1.2606303151575787e-4,4.7041582097770842e+0
1.2756378189094549e-4,4.7041582097770842e+0
