# pin-led probe=a h=0.000001 steps=50
t,v
0.0000000000000000e+0,1.6051620365391288e-29
9.9999999999999995e-7,1.7443025103598286e+0
1.9999999999999999e-6,1.7443025103598289e+0
3.0000000000000001e-6,1.7443025103598286e+0
3.9999999999999998e-6,1.7443025103598284e+0
4.9999999999999996e-6,1.7443025103598295e+0
6.0000000000000002e-6,1.7443025103598293e+0
6.9999999999999999e-6,1.7443025103598284e+0
7.9999999999999996e-6,1.7443025103598284e+0
9.0000000000000002e-6,1.7443025103598293e+0
9.9999999999999991e-6,1.7443025103598293e+0
1.1000000000000000e-5,1.7443025103598286e+0
1.2000000000000000e-5,1.7443025103598284e+0
1.2999999999999999e-5,1.7443025103598293e+0
1.4000000000000000e-5,1.7443025103598293e+0
1.4999999999999999e-5,1.7443025103598286e+0
1.5999999999999999e-5,1.7443025103598284e+0
1.7000000000000000e-5,1.7443025103598293e+0
1.8000000000000000e-5,1.7443025103598293e+0
1.8999999999999998e-5,1.7443025103598286e+0
1.9999999999999998e-5,1.7443025103598284e+0
2.0999999999999999e-5,1.7443025103598293e+0
2.1999999999999999e-5,1.7443025103598293e+0
2.3000000000000000e-5,1.7443025103598286e+0
2.4000000000000001e-5,1.7443025103598284e+0
2.4999999999999998e-5,1.7443025103598293e+0
2.5999999999999998e-5,1.7443025103598293e+0
2.6999999999999999e-5,1.7443025103598286e+0
2.8000000000000000e-5,1.7443025103598284e+0
2.9000000000000000e-5,1.7443025103598293e+0
2.9999999999999997e-5,1.7443025103598293e+0
3.1000000000000001e-5,1.7443025103598286e+0
3.1999999999999999e-5,1.7443025103598284e+0
3.2999999999999996e-5,1.7443025103598293e+0
3.4000000000000000e-5,1.7443025103598293e+0
3.4999999999999997e-5,1.7443025103598286e+0
3.6000000000000001e-5,1.7443025103598284e+0
3.6999999999999998e-5,1.7443025103598295e+0
3.7999999999999995e-5,1.7443025103598293e+0
3.8999999999999999e-5,1.7443025103598284e+0
3.9999999999999996e-5,1.7443025103598284e+0
4.1000000000000000e-5,1.7443025103598293e+0
4.1999999999999998e-5,1.7443025103598293e+0
4.2999999999999995e-5,1.7443025103598286e+0
4.3999999999999999e-5,1.7443025103598284e+0
4.4999999999999996e-5,1.7443025103598293e+0
4.6000000000000000e-5,1.7443025103598293e+0
4.6999999999999997e-5,1.7443025103598286e+0
4.8000000000000001e-5,1.7443025103598284e+0
4.8999999999999998e-5,1.7443025103598293e+0
4.9999999999999996e-5,1.7443025103598291e+0
