# pwm-50 probe=out h=0.00001 steps=8000
t,v
0.0000000000000000e+0,4.9999999999999991e+0
4.0020010005002502e-5,5.0000000000000107e+0
8.0040020010005005e-5,5.0000000000000133e+0
1.2006003001500750e-4,5.0000000000000133e+0
1.6008004002001001e-4,5.0000000000000133e+0
2.0010005002501252e-4,5.0000000000000133e+0
2.4012006003001500e-4,5.0000000000000133e+0
2.8014007003501751e-4,5.0000000000000133e+0
3.2016008004002002e-4,5.0000000000000133e+0
3.6018009004502247e-4,5.0000000000000133e+0
4.0020010005002504e-4,5.0000000000000133e+0
4.4022011005502749e-4,5.0000000000000133e+0
4.8024012006003000e-4,5.0000000000000133e+0
5.2026013006503257e-4,5.0000000000000133e+0
5.6028014007003502e-4,5.0000000000000133e+0
6.0030015007503748e-4,5.0000000000000133e+0
6.4032016008004004e-4,5.0000000000000133e+0
6.8034017008504260e-4,5.0000000000000133e+0
7.2036018009004495e-4,5.0000000000000133e+0
7.6038019009504751e-4,5.0000000000000133e+0
8.0040020010005008e-4,5.0000000000000133e+0
8.4042021010505253e-4,5.0000000000000133e+0
8.8044022011005499e-4,5.0000000000000133e+0
9.2046023011505755e-4,5.0000000000000133e+0
9.6048024012006000e-4,5.0000000000000133e+0
1.0005002501250625e-3,5.0000000000000133e+0
1.0405202601300651e-3,4.9899798323656697e+0
1.0805402701350676e-3,4.9700995665791758e+0
1.1205602801400700e-3,4.9502984988635319e+0
1.1605802901450725e-3,4.9305763192736913e+0
1.2006003001500750e-3,4.9109327135853560e+0
1.2406203101550776e-3,4.8913673687580843e+0
1.2806403201600801e-3,4.8718799729977604e+0
1.3206603301650825e-3,4.8524702157524597e+0
1.3606803401700852e-3,4.8331377877075061e+0
1.4007003501750877e-3,4.8138823807805418e+0
1.4407203601800899e-3,4.7947036881166225e+0
1.4807403701850926e-3,4.7756014040833259e+0
1.5207603801900950e-3,4.7565752242658794e+0
1.5607803901950977e-3,4.7376248454623031e+0
1.6008004002001002e-3,4.7187499656785992e+0
1.6408204102051026e-3,4.6999502841239105e+0
1.6808404202101051e-3,4.6812255012057467e+0
1.7208604302151075e-3,4.6625753185252057e+0
1.7608804402201100e-3,4.6439994388722141e+0
1.8009004502251126e-3,4.6254975662207967e+0
1.8409204602301151e-3,4.6070694057243600e+0
1.8809404702351178e-3,4.5887146637109808e+0
1.9209604802401200e-3,4.5704330476787414e+0
1.9609804902451225e-3,4.5522242662910610e+0
2.0010005002501249e-3,4.5340880293720511e+0
2.0410205102551278e-3,4.5161253554189429e+0
2.0810405202601303e-3,4.5180530904509153e+0
2.1210605302651327e-3,4.5199731856679151e+0
2.1610805402701352e-3,4.5218856311947526e+0
2.2011005502751376e-3,4.5237904574665322e+0
2.2411205602801401e-3,4.5256876948381333e+0
2.2811405702851430e-3,4.5275773735440099e+0
2.3211605802901450e-3,4.5294595236981667e+0
2.3611805902951474e-3,4.5313341752946315e+0
2.4012006003001499e-3,4.5332013582079309e+0
2.4412206103051524e-3,4.5350611021935805e+0
2.4812406203101552e-3,4.5369134368885362e+0
2.5212606303151577e-3,4.5387583918116938e+0
2.5612806403201602e-3,4.5405959963643348e+0
2.6013006503251626e-3,4.5424262798306083e+0
2.6413206603301651e-3,4.5442492713779892e+0
2.6813406703351680e-3,4.5460650000577543e+0
2.7213606803401704e-3,4.5478734948054393e+0
2.7613806903451729e-3,4.5496747844412955e+0
2.8014007003501753e-3,4.5514688976707571e+0
2.8414207103551773e-3,4.5532558630848898e+0
2.8814407203601798e-3,4.5550357091608582e+0
2.9214607303651827e-3,4.5568084642623647e+0
2.9614807403701851e-3,4.5585741566401170e+0
3.0015007503751876e-3,4.5603328144322672e+0
3.0415207603801900e-3,4.5620844656648654e+0
3.0815407703851925e-3,4.5537073103402657e+0
3.1215607803901954e-3,4.5355651708556497e+0
3.1615807903951978e-3,4.5174953050858502e+0
3.2016008004002003e-3,4.4994974302726138e+0
3.2416208104052028e-3,4.4815712596652828e+0
3.2816408204102052e-3,4.4637165075924772e+0
3.3216608304152081e-3,4.4459328895201651e+0
3.3616808404202101e-3,4.4282201220478932e+0
3.4017008504252126e-3,4.4105779229042907e+0
3.4417208604302150e-3,4.3930060109425675e+0
3.4817408704352175e-3,4.3755041061360274e+0
3.5217608804402199e-3,4.3580719295736126e+0
3.5617808904452228e-3,4.3407092034554555e+0
3.6018009004502253e-3,4.3234156510884523e+0
3.6418209104552277e-3,4.3061909968818615e+0
3.6818409204602302e-3,4.2890349663428990e+0
3.7218609304652327e-3,4.2719472860723666e+0
3.7618809404702355e-3,4.2549276837603003e+0
3.8019009504752380e-3,4.2379758881816327e+0
3.8419209604802400e-3,4.2210916291918652e+0
3.8819409704852425e-3,4.2042746377227633e+0
3.9219609804902449e-3,4.1875246457780699e+0
3.9619809904952478e-3,4.1708413864292329e+0
