# rc-step probe=out h=0.000001 steps=4000
t,v
0.0000000000000000e+0,0.0000000000000000e+0
2.0010005002501251e-6,1.9989797596682759e-3
4.0020010005002502e-6,3.9939846729818247e-3
6.0030015007503754e-6,5.9850016433501000e-3
8.0040020010005005e-6,7.9720385779582272e-3
1.0005002501250626e-5,9.9551034257157021e-3
1.2006003001500751e-5,1.1934204126026958e-2
1.4007003501750876e-5,1.3909348603134140e-2
1.6008004002001001e-5,1.5880544765517465e-2
1.8009004502251128e-5,1.7847800505856846e-2
2.0010005002501251e-5,1.9811123701055682e-2
2.2011005502751375e-5,2.1770522212271572e-2
2.4012006003001501e-5,2.3726003884947666e-2
2.6013006503251628e-5,2.5677576548844082e-2
2.8014007003501752e-5,2.7625248018069256e-2
3.0015007503751875e-5,2.9569026091111221e-2
3.2016008004002002e-5,3.1508918550868827e-2
3.4017008504252129e-5,3.3444933164682951e-2
3.6018009004502256e-5,3.5377077684367514e-2
3.8019009504752376e-5,3.7305359846240567e-2
4.0020010005002502e-5,3.9229787371155303e-2
4.2021010505252629e-5,4.1150367964530914e-2
4.4022011005502749e-5,4.3067109316383440e-2
4.6023011505752876e-5,4.4980019101356607e-2
4.8024012006003003e-5,4.6889104978752517e-2
5.0025012506253130e-5,4.8794374592562383e-2
5.2026013006503257e-5,5.0695835571497046e-2
5.4027013506753377e-5,5.2593495529017521e-2
5.6028014007003503e-5,5.4487362063365553e-2
5.8029014507253630e-5,5.6377442757594029e-2
6.0030015007503750e-5,5.8263745179597273e-2
6.2031015507753870e-5,6.0146276882141428e-2
6.4032016008004004e-5,6.2025045402894677e-2
6.6033016508254124e-5,6.3900058264457285e-2
6.8034017008504258e-5,6.5771322974392019e-2
7.0035017508754378e-5,6.7638847025253898e-2
7.2036018009004511e-5,6.9502637894620425e-2
7.4037018509254618e-5,7.1362703045121323e-2
7.6038019009504751e-5,7.3219049924468649e-2
7.8039019509754871e-5,7.5071685965486384e-2
8.0040020010005005e-5,7.6920618586140327e-2
8.2041020510255125e-5,7.8765855189567788e-2
8.4042021010505259e-5,8.0607403164107194e-2
8.6043021510755379e-5,8.2445269752111541e-2
8.8044022011005499e-5,8.4279461658924276e-2
9.0045022511255619e-5,8.6109987017027129e-2
9.2046023011505752e-5,8.7936853155847275e-2
9.4047023511755872e-5,8.9760067390160431e-2
9.6048024012006006e-5,9.1579637020120064e-2
9.8049024512256126e-5,9.3395569331286676e-2
1.0005002501250626e-4,9.5207871594656976e-2
1.0205102551275638e-4,9.7016551066692824e-2
1.0405202601300651e-4,9.8821614989350604e-2
1.0605302651325662e-4,1.0062307059010989e-1
1.0805402701350675e-4,1.0242092508200262e-1
1.1005502751375687e-4,1.0421518566364188e-1
1.1205602801400701e-4,1.0600585951925072e-1
1.1405702851425713e-4,1.0779295381869089e-1
1.1605802901450726e-4,1.0957647571749174e-1
1.1805902951475738e-4,1.1135643235687859e-1
1.2006003001500750e-4,1.1313283086380153e-1
1.2206103051525762e-4,1.1490567835096389e-1
1.2406203101550774e-4,1.1667498191685065e-1
1.2606303151575787e-4,1.1844074864575697e-1
1.2806403201600801e-4,1.2020298560781656e-1
1.3006503251625814e-4,1.2196169985902992e-1
1.3206603301650825e-4,1.2371689844129251e-1
1.3406703351675838e-4,1.2546858838242320e-1
1.3606803401700852e-4,1.2721677669619219e-1
1.3806903451725865e-4,1.2896147038234920e-1
1.4007003501750876e-4,1.3070267642665140e-1
1.4207103551775889e-4,1.3244040180089142e-1
1.4407203601800902e-4,1.3417465346292548e-1
1.4607303651825913e-4,1.3590543835670077e-1
1.4807403701850924e-4,1.3763276341228375e-1
1.5007503751875937e-4,1.3935663554588767e-1
1.5207603801900950e-4,1.4107706165990019e-1
1.5407703851925964e-4,1.4279404864291118e-1
1.5607803901950974e-4,1.4450760336974014e-1
1.5807903951975988e-4,1.4621773270146393e-1
1.6008004002001001e-4,1.4792444348544401e-1
1.6208104052026014e-4,1.4962774255535410e-1
1.6408204102051025e-4,1.5132763673120730e-1
1.6608304152076038e-4,1.5302413281938357e-1
1.6808404202101052e-4,1.5471723761265710e-1
1.7008504252126065e-4,1.5640695789022296e-1
1.7208604302151076e-4,1.5809330041772490e-1
1.7408704352176089e-4,1.5977627194728203e-1
1.7608804402201100e-4,1.6145587921751606e-1
1.7808904452226113e-4,1.6313212895357812e-1
1.8009004502251124e-4,1.6480502786717588e-1
1.8209104552276137e-4,1.6647458265660031e-1
1.8409204602301150e-4,1.6814080000675233e-1
1.8609304652326164e-4,1.6980368658916994e-1
1.8809404702351174e-4,1.7146324906205468e-1
1.9009504752376188e-4,1.7311949407029836e-1
1.9209604802401201e-4,1.7477242824550979e-1
1.9409704852426215e-4,1.7642205820604095e-1
1.9609804902451225e-4,1.7806839055701376e-1
1.9809904952476239e-4,1.7971143189034688e-1
2.0010005002501252e-4,1.8135118878478135e-1
2.0210105052526265e-4,1.8298766780590744e-1
2.0410205102551276e-4,1.8462087550619077e-1
2.0610305152576289e-4,1.8625081842499872e-1
2.0810405202601303e-4,1.8787750308862636e-1
2.1010505252626313e-4,1.8950093601032267e-1
2.1210605302651324e-4,1.9112112369031675e-1
2.1410705352676337e-4,1.9273807261584386e-1
2.1610805402701351e-4,1.9435178926117103e-1
2.1810905452726364e-4,1.9596228008762342e-1
2.2011005502751375e-4,1.9756955154360997e-1
2.2211105552776388e-4,1.9917361006464915e-1
2.2411205602801401e-4,2.0077446207339505e-1
2.2611305652826415e-4,2.0237211397966282e-1
2.2811405702851425e-4,2.0396657218045414e-1
2.3011505752876439e-4,2.0555784305998348e-1
2.3211605802901452e-4,2.0714593298970307e-1
2.3411705852926465e-4,2.0873084832832864e-1
2.3611805902951476e-4,2.1031259542186484e-1
2.3811905952976489e-4,2.1189118060363060e-1
2.4012006003001500e-4,2.1346661019428470e-1
2.4212106053026513e-4,2.1503889050185082e-1
2.4412206103051524e-4,2.1660802782174296e-1
2.4612306153076540e-4,2.1817402843679068e-1
2.4812406203101548e-4,2.1973689861726389e-1
2.5012506253126561e-4,2.2129664462089879e-1
2.5212606303151575e-4,2.2285327269292179e-1
2.5412706353176588e-4,2.2440678906607525e-1
2.5612806403201602e-4,2.2595719996064254e-1
2.5812906453226615e-4,2.2750451158447252e-1
2.6013006503251628e-4,2.2904873013300442e-1
2.6213106553276642e-4,2.3058986178929311e-1
2.6413206603301650e-4,2.3212791272403319e-1
2.6613306653326663e-4,2.3366288909558441e-1
2.6813406703351676e-4,2.3519479704999580e-1
2.7013506753376690e-4,2.3672364272103036e-1
2.7213606803401703e-4,2.3824943223018974e-1
2.7413706853426716e-4,2.3977217168673892e-1
2.7613806903451730e-4,2.4129186718773032e-1
2.7813906953476743e-4,2.4280852481802814e-1
2.8014007003501751e-4,2.4432215065033322e-1
2.8214107053526764e-4,2.4583275074520713e-1
2.8414207103551778e-4,2.4734033115109624e-1
2.8614307153576791e-4,2.4884489790435615e-1
2.8814407203601804e-4,2.5034645702927566e-1
2.9014507253626812e-4,2.5184501453810104e-1
2.9214607303651826e-4,2.5334057643106050e-1
2.9414707353676839e-4,2.5483314869638718e-1
2.9614807403701847e-4,2.5632273731034422e-1
2.9814907453726860e-4,2.5780934823724805e-1
3.0015007503751874e-4,2.5929298742949231e-1
3.0215107553776887e-4,2.6077366082757197e-1
3.0415207603801900e-4,2.6225137436010687e-1
3.0615307653826914e-4,2.6372613394386585e-1
3.0815407703851927e-4,2.6519794548378972e-1
3.1015507753876941e-4,2.6666681487301558e-1
3.1215607803901949e-4,2.6813274799289982e-1
