# uno-usb probe=v5 h=2e-8 steps=150000
t,v
0.0000000000000000e+0,4.9644999999999921e+0
1.5007503751875938e-6,4.9644999999999904e+0
3.0015007503751877e-6,4.9644999999999904e+0
4.5022511255627819e-6,4.9644999999999904e+0
6.0030015007503754e-6,4.9644999999999904e+0
7.5037518759379688e-6,4.9644999999999904e+0
9.0045022511255639e-6,4.9644999999999904e+0
1.0505252626313157e-5,4.9644999999999904e+0
1.2006003001500751e-5,4.9644999999999904e+0
1.3506753376688344e-5,4.9644999999999904e+0
1.5007503751875938e-5,4.9644999999999904e+0
1.6508254127063531e-5,4.9644999999999904e+0
1.8009004502251128e-5,4.9644999999999904e+0
1.9509754877438718e-5,4.9644999999999904e+0
2.1010505252626315e-5,4.9644999999999904e+0
2.2511255627813905e-5,4.9644999999999904e+0
2.4012006003001501e-5,4.9644999999999904e+0
2.5512756378189095e-5,4.9644999999999904e+0
2.7013506753376688e-5,4.9644999999999904e+0
2.8514257128564282e-5,4.9644999999999904e+0
3.0015007503751875e-5,4.9644999999999904e+0
3.1515757878939469e-5,4.9644999999999904e+0
3.3016508254127062e-5,4.9644999999999904e+0
3.4517258629314662e-5,4.9644999999999904e+0
3.6018009004502256e-5,4.9644999999999904e+0
3.7518759379689842e-5,4.9644999999999904e+0
3.9019509754877436e-5,4.9644999999999904e+0
4.0520260130065036e-5,4.9644999999999904e+0
4.2021010505252629e-5,4.9644999999999904e+0
4.3521760880440223e-5,4.9644999999999904e+0
4.5022511255627809e-5,4.9644999999999904e+0
4.6523261630815410e-5,4.9644999999999904e+0
4.8024012006003003e-5,4.9644999999999904e+0
4.9524762381190596e-5,4.9644999999999904e+0
5.1025512756378190e-5,4.9644999999999904e+0
5.2526263131565783e-5,4.9644999999999904e+0
5.4027013506753377e-5,4.9644999999999904e+0
5.5527763881940970e-5,4.9644999999999904e+0
5.7028514257128563e-5,4.9644999999999904e+0
5.8529264632316164e-5,4.9644999999999904e+0
6.0030015007503750e-5,4.9644999999999904e+0
6.1530765382691350e-5,4.9644999999999904e+0
6.3031515757878937e-5,4.9644999999999904e+0
6.4532266133066537e-5,4.9644999999999904e+0
6.6033016508254124e-5,4.9644999999999904e+0
6.7533766883441724e-5,4.9644999999999904e+0
6.9034517258629324e-5,4.9644999999999904e+0
7.0535267633816911e-5,4.9644999999999904e+0
7.2036018009004511e-5,4.9644999999999904e+0
7.3536768384192098e-5,4.9644999999999904e+0
7.5037518759379684e-5,4.9644999999999904e+0
7.6538269134567285e-5,4.9644999999999904e+0
7.8039019509754871e-5,4.9644999999999904e+0
7.9539769884942471e-5,4.9644999999999904e+0
8.1040520260130072e-5,4.9644999999999904e+0
8.2541270635317658e-5,4.9644999999999904e+0
8.4042021010505259e-5,4.9644999999999904e+0
8.5542771385692859e-5,4.9644999999999904e+0
8.7043521760880445e-5,4.9644999999999904e+0
8.8544272136068032e-5,4.9644999999999904e+0
9.0045022511255619e-5,4.9644999999999904e+0
9.1545772886443219e-5,4.9644999999999904e+0
9.3046523261630819e-5,4.9644999999999904e+0
9.4547273636818406e-5,4.9644999999999913e+0
9.6048024012006006e-5,4.9644999999999904e+0
9.7548774387193606e-5,4.9644999999999895e+0
9.9049524762381193e-5,4.9644999999999904e+0
1.0055027513756879e-4,4.9644999999999904e+0
1.0205102551275638e-4,4.9644999999999904e+0
1.0355177588794398e-4,4.9644999999999904e+0
1.0505252626313157e-4,4.9644999999999904e+0
1.0655327663831915e-4,4.9644999999999904e+0
1.0805402701350675e-4,4.9644999999999904e+0
1.0955477738869435e-4,4.9644999999999904e+0
1.1105552776388194e-4,4.9644999999999904e+0
1.1255627813906954e-4,4.9644999999999904e+0
1.1405702851425713e-4,4.9644999999999904e+0
1.1555777888944473e-4,4.9644999999999904e+0
1.1705852926463233e-4,4.9644999999999904e+0
1.1855927963981991e-4,4.9644999999999904e+0
1.2006003001500750e-4,4.9644999999999904e+0
1.2156078039019510e-4,4.9644999999999904e+0
1.2306153076538270e-4,4.9644999999999904e+0
1.2456228114057029e-4,4.9644999999999904e+0
1.2606303151575787e-4,4.9644999999999904e+0
1.2756378189094549e-4,4.9644999999999904e+0
1.2906453226613307e-4,4.9644999999999904e+0
1.3056528264132066e-4,4.9644999999999904e+0
1.3206603301650825e-4,4.9644999999999904e+0
1.3356678339169586e-4,4.9644999999999904e+0
1.3506753376688345e-4,4.9644999999999904e+0
1.3656828414207103e-4,4.9644999999999904e+0
1.3806903451725865e-4,4.9644999999999904e+0
1.3956978489244624e-4,4.9644999999999904e+0
1.4107053526763382e-4,4.9644999999999904e+0
1.4257128564282144e-4,4.9644999999999904e+0
1.4407203601800902e-4,4.9644999999999904e+0
1.4557278639319658e-4,4.9644999999999904e+0
1.4707353676838420e-4,4.9644999999999904e+0
1.4857428714357178e-4,4.9644999999999904e+0
1.5007503751875937e-4,4.9644999999999904e+0
1.5157578789394698e-4,4.9644999999999904e+0
1.5307653826913457e-4,4.9644999999999904e+0
1.5457728864432216e-4,4.9644999999999904e+0
1.5607803901950974e-4,4.9644999999999904e+0
1.5757878939469736e-4,4.9644999999999904e+0
1.5907953976988494e-4,4.9644999999999904e+0
1.6058029014507253e-4,4.9644999999999904e+0
1.6208104052026014e-4,4.9644999999999904e+0
1.6358179089544773e-4,4.9644999999999904e+0
1.6508254127063532e-4,4.9644999999999904e+0
1.6658329164582293e-4,4.9644999999999904e+0
1.6808404202101052e-4,4.9644999999999904e+0
1.6958479239619810e-4,4.9644999999999904e+0
1.7108554277138572e-4,4.9644999999999904e+0
1.7258629314657330e-4,4.9644999999999904e+0
1.7408704352176089e-4,4.9644999999999904e+0
1.7558779389694850e-4,4.9644999999999904e+0
1.7708854427213606e-4,4.9644999999999904e+0
1.7858929464732365e-4,4.9644999999999904e+0
1.8009004502251124e-4,4.9644999999999904e+0
1.8159079539769885e-4,4.9644999999999904e+0
1.8309154577288644e-4,4.9644999999999904e+0
1.8459229614807402e-4,4.9644999999999904e+0
1.8609304652326164e-4,4.9644999999999904e+0
1.8759379689844922e-4,4.9644999999999904e+0
1.8909454727363681e-4,4.9644999999999904e+0
